name,date,county,state,WI_DNR,lat,long,Area(ha),WaterDpth(m),Elev(m)
Adventure,,,WI,2449100,46.09,-91.94,6.9,9.9,304
Benach,,,WI,2450100,45.9271,-92.256,6.5,12.2,297
BlueJ,,,WI,,46.407,-91.528,,10.45,356
Brozie,,,WI,,45.9599,-92.1084,,,304
Camp2G,,,WI,,46.50213,-91.41097,9.3,11.9,347
Chase,,,WI,2457000,45.9267,-92.468,2.4,8.5,288
Cheney,,,WI,,46.382,-91.701,8.1,5.2,339
Clubhouse,,,WI,2458000,45.9395,-92.0572,10.1,7.9,302
Corwick,,,WI,2458500,45.9477,-92.197,2.4,7.95,301
Crestview,,,WI,,46.274,-91.693,1.6,1.5,333
Deep Pine,,,WI,,46.543,-91.35,5.7,10.4,330
DeerPrint,,,WI,,46.36,-91.619,8.1,2.1,344
Elevenses,,,WI,,46.382,-91.496,2.8,7.6,355
Ferr01X,,,WI,2464300,46.013,-92.125,6.5,10.97,292
First Pine,,,WI,,46.65141,-91.23631,4,8.5,378
Genos,,,WI,,45.928,-92.083,,0.9,303
Hell Hole,,,WI,2539300,45.7865,-92.219,2,13,299
Horseshoe,,,WI,2469900,45.8618,-92.2786,6.9,9.88,292
Jakes,,,WI,,46.5678,-91.3002,,,323
Lemon,,,WI,,46.477,-91.277,2.4,12.2,316
Lily,,,WI,2675900,45.901,-92.272,6.1,13.75,296
LittleRound,,,WI,2477600,46.0126,-92.2259,5.3,,291
Lone02,,,WI,2675400,45.932,-92.2359,9.3,12.2,284
Menke,,,WI,2548800,45.872,-92.341,2.8,10.43,293
Metz01,,,WI,2482000,46.318,-91.688,4.8,8.52,333
Perch,,,WI,2488500,45.9036,-92.0609,6.5,8.3,301
Sawdust,,,WI,,46.57128,-91.27224,6.9,,317
Tomahawk,,,WI,2501600,45.924,-91.961,9.7,11,309
Wade,,,WI,2568700,45.98437,-92.16812,,,301
Wagner,,,WI,2599200,46.203,-91.858,8.5,9.3,316
Warner,,,WI,2599600,46.121,-92.039,10.1,7.31,306
West8Mile,,,WI,,46.423,-91.48,6.5,5.5,354
West Twin,,,WI,,46.6838,-91.063,6.5,15.8,335
Fallison,,,WI,,45.9939,-89.61883,,,501
Adeline,2/4/07,Bayfield,WI,,45.302,-91.194,,8.2,418
Eska,2/3/07,Taylor,WI,,45.1915,-90.60789,,18.1,443
Arrowhead,7/18/03,Vilas,WI,,45.90634,-89.690237,40.1,9.2,
Big St Germain,8/23/04,Vilas,WI,,45.934297,-89.519786,665.7,11.47,
Eagle,7/1/04,Vilas,WI,,45.932222,-89.208192,241.8,8.09,
Little Spider,7/1/03,Vilas,WI,,45.971148,-89.708418,90.9,7.5,
Lost,7/23/03,Vilas,WI,,45.965542,-89.483116,223.7,5,
Otter,7/1/04,Vilas,WI,,45.942934,-89.22145,76.9,9.08,
CircleLily,8/10/04,Vilas,WI,,46.159086,-89.91917,94.9,6.53,
Little Crooked,6/17/03,Vilas,WI,,46.150854,-89.69511,63.8,7.5,
Round,6/26/03,Vilas,WI,,46.171864,-89.710237,71.5,5.3,
Big Portage,6/27/03,Vilas,WI,,46.125602,-89.284923,240.5,11.5,
Moon,7/23/04,Vilas,WI,,45.917883,-89.434358,54.4,7.56,
Nelson,8/14/03,Vilas,WI,,45.930417,-89.357161,47.4,10,
Oxbow,7/29/04,Vilas,WI,,46.240885,-89.68285,218.2,12.17,
Vandercook,6/5/03,Vilas,WI,,45.982146,-89.685207,41.3,6.7,
Day,6/14/04,Vilas,WI,,46.063419,-89.704896,47.3,14.3,
Katinka,10/5/04,Vilas,WI,,46.205384,-89.792614,70.9,14.52,
LittleRockSouth,6/13/03,Vilas,WI,,45.995621,-89.70115,8.1,6.3,
Nebish,6/18/03,Vilas,WI,,46.051978,-89.590709,38.5,11,
Spruce,7/13/04,Vilas,WI,,46.05323,-89.566965,6.7,3.49,
Pallette09F,,Vilas,WI,,46.0665173,-89.6038754,72.8,18.29,
Allequash07X,,Vilas,WI,,46.0369394,-89.6288435,164.3,7.32,
Trout07F,,Vilas,WI,,46.0413585,-89.6712654,1563.7,14.94,
Big Muskie07X,,Vilas,WI,,45.9208573,-89.6996401,32,4.88,
Crystal07X,,Vilas,WI,,46.1567454,-89.1780327,38.8,7.01,
Sparkling07X,,Vilas,WI,,46.0086459,-89.6997036,63.5,18.29,